ID,In NGC_663?,,,,Alt Prob
,,,,,
Gaia DR3 511217729474030464,0,,,,1
,,,,,
Gaia DR3 511217660762484096,0.046783626,,,,0.953216374
,,,,,
Gaia DR3 511217729481955840,0.824561404,,,,0.175438596
,,,,,
Gaia DR3 511217175422832640,0.280701754,,,,0.719298246
,,,,,
Gaia DR3 511217454596183552,0,,,,1
,,,,,
Gaia DR3 511264252570064128,0,,,,1
,,,,,
Gaia DR3 511217729481957504,0.093567251,,,,0.906432749
,,,,,
Gaia DR3 511217454604072448,0.637426901,,,,0.362573099
,,,,,
Gaia DR3 511264149486573312,0,,,,1
,,,,,
Gaia DR3 511264248264464768,0,,,,1
,,,,,
Gaia DR3 511264149486126464,0.011695906,,,,0.988304094
,,,,,
Gaia DR3 511264252570065152,0.80994152,,,,0.19005848
,,,,,
Gaia DR3 511217179726200064,0.01754386,,,,0.98245614
,,,,,
Gaia DR3 511217072343671040,0,,,,1
,,,,,
Gaia DR3 511217145359373056,0,,,,1
,,,,,
Gaia DR3 511217729474023424,0,,,,1
,,,,,
Gaia DR3 511264286925459840,0,,,,1
,,,,,
Gaia DR3 511264286929801600,0,,,,1
,,,,,
Gaia DR3 511217076639896960,0,,,,1
,,,,,
Gaia DR3 511264149486506880,0,,,,1
,,,,,
Gaia DR3 511264145188105728,0,,,,1
,,,,,
Gaia DR3 511264115126401024,0,,,,1
,,,,,
Gaia DR3 511264110825472640,0.122807018,,,,0.877192982
,,,,,
Gaia DR3 511217660762484224,0.728070175,,,,0.271929825
,,,,,
Gaia DR3 511217037983861760,0.026315789,,,,0.973684211
,,,,,
Gaia DR3 511217145366464640,0,,,,1
,,,,,
Gaia DR3 511264115131117952,0.929824561,,,,0.070175439
,,,,,
Gaia DR3 511264286929878656,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264110825472384,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217179726200576,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264110825958912,0.01754386,,,,0.98245614
,,,,,
Gaia DR3 511264145185229952,0.305068226,,,,0.694931774
,,,,,
Gaia DR3 511217660754585600,0,,,,1
,,,,,
Gaia DR3 511217145366464768,0.01754386,,,,0.98245614
,,,,,
Gaia DR3 511264286925459968,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217454604075776,0.178362573,,,,0.821637427
,,,,,
Gaia DR3 511217106703328256,0,,,,1
,,,,,
Gaia DR3 511217179726203392,0.01754386,,,,0.98245614
,,,,,
Gaia DR3 511264145185216896,0.084795322,,,,0.915204678
,,,,,
Gaia DR3 511217179726205056,0,,,,1
,,,,,
Gaia DR3 511217076639897984,0,,,,1
,,,,,
Gaia DR3 511217454604065536,0,,,,1
,,,,,
Gaia DR3 511216939208032896,0.365733046,,,,0.634266954
,,,,,
Gaia DR3 511217042287246976,0,,,,1
,,,,,
Gaia DR3 511217729481953408,0.277777778,,,,0.722222222
,,,,,
Gaia DR3 511217660762489856,0,,,,1
,,,,,
Gaia DR3 511217450300788352,0,,,,1
,,,,,
Gaia DR3 511217179726197632,0.941520468,,,,0.058479532
,,,,,
Gaia DR3 511264115126771456,0,,,,1
,,,,,
Gaia DR3 511217729481951616,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264115132583680,0,,,,1
,,,,,
Gaia DR3 511264115126771328,0,,,,1
,,,,,
Gaia DR3 511264149490854656,0,,,,1
,,,,,
Gaia DR3 511216934904646400,0,,,,1
,,,,,
Gaia DR3 511217179726465408,0.961988304,,,,0.038011696
,,,,,
Gaia DR3 511217179726199168,0,,,,1
,,,,,
Gaia DR3 511217729481954816,0.692982456,,,,0.307017544
,,,,,
Gaia DR3 511217179718392704,0,,,,1
,,,,,
Gaia DR3 511217729474017792,0,,,,1
,,,,,
Gaia DR3 511264286925057408,0,,,,1
,,,,,
Gaia DR3 511264286929878144,0,,,,1
,,,,,
Gaia DR3 511217729482340224,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217076640123392,0,,,,1
,,,,,
Gaia DR3 511217454596173952,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217660762483200,0.204678363,,,,0.795321637
,,,,,
Gaia DR3 511217072343670912,0.038011696,,,,0.961988304
,,,,,
Gaia DR3 511217656459251200,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217454597005568,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217042280163072,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217076646973952,0.85380117,,,,0.14619883
,,,,,
Gaia DR3 511264218210328960,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264286929800320,0.859649123,,,,0.140350877
,,,,,
Gaia DR3 511217729481951232,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264115126398208,0,,,,1
,,,,,
Gaia DR3 511264145193855232,0,,,,1
,,,,,
Gaia DR3 511217076646961664,0.119883041,,,,0.880116959
,,,,,
Gaia DR3 511217037984394240,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264115126769408,0,,,,1
,,,,,
Gaia DR3 511264321291045376,0,,,,1
,,,,,
Gaia DR3 511217729481952768,0.959064327,,,,0.040935673
,,,,,
Gaia DR3 511217111006989184,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264149486507520,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264218210330496,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264282624226176,0,,,,1
,,,,,
Gaia DR3 511217111006732800,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217076650996480,0,,,,1
,,,,,
Gaia DR3 511217454596999936,0,,,,1
,,,,,
Gaia DR3 511217450300778368,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264664886921856,0.125730994,,,,0.874269006
,,,,,
Gaia DR3 511264110828269952,0.766081871,,,,0.233918129
,,,,,
Gaia DR3 511217690818979584,0,,,,1
,,,,,
Gaia DR3 511217042280163584,0,,,,1
,,,,,
Gaia DR3 511217175422805376,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264660581356032,0.137426901,,,,0.862573099
,,,,,
Gaia DR3 511217450301256192,0,,,,1
,,,,,
Gaia DR3 511264252570063488,0.66374269,,,,0.33625731
,,,,,
Gaia DR3 511264664882581248,0,,,,1
,,,,,
Gaia DR3 511264110825472512,0,,,,1
,,,,,
Gaia DR3 511217076646966272,0.973684211,,,,0.026315789
,,,,,
Gaia DR3 511264115131116672,0.122807018,,,,0.877192982
,,,,,
Gaia DR3 511217695122227968,0.134502924,,,,0.865497076
,,,,,
Gaia DR3 511264286929799936,0.766081871,,,,0.233918129
,,,,,
Gaia DR3 511217179719095040,0,,,,1
,,,,,
Gaia DR3 511264115131118464,0.906432749,,,,0.093567251
,,,,,
Gaia DR3 511264115126398336,0,,,,1
,,,,,
Gaia DR3 511217042287242752,0.307017544,,,,0.692982456
,,,,,
Gaia DR3 511264115126769280,0,,,,1
,,,,,
Gaia DR3 511217729481947776,0.020467836,,,,0.979532164
,,,,,
Gaia DR3 511217179726204160,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217454596997632,0,,,,1
,,,,,
Gaia DR3 511264218210328704,0,,,,1
,,,,,
Gaia DR3 511264664888615168,0,,,,1
,,,,,
Gaia DR3 511217072344132864,0,,,,1
,,,,,
Gaia DR3 511217106703316352,0,,,,1
,,,,,
Gaia DR3 511264115132587136,0.748538012,,,,0.251461988
,,,,,
Gaia DR3 511264286929801216,0.014619883,,,,0.985380117
,,,,,
Gaia DR3 511264218206090112,0,,,,1
,,,,,
Gaia DR3 511264321284801664,0,,,,1
,,,,,
Gaia DR3 511264110828101632,0,,,,1
,,,,,
Gaia DR3 511264664886921472,0,,,,1
,,,,,
Gaia DR3 511264321289540608,0.865789474,,,,0.134210526
,,,,,
Gaia DR3 511264115131118080,0.061403509,,,,0.938596491
,,,,,
Gaia DR3 511264218210328448,0.896345029,,,,0.103654971
,,,,,
Gaia DR3 511264321285195904,0,,,,1
,,,,,
Gaia DR3 511264115131187200,0,,,,1
,,,,,
Gaia DR3 511264316986702848,0,,,,1
,,,,,
Gaia DR3 511216934904630016,0.043859649,,,,0.956140351
,,,,,
Gaia DR3 511217179719354880,0,,,,1
,,,,,
Gaia DR3 511217729473996928,0.716374269,,,,0.283625731
,,,,,
Gaia DR3 511217695114276224,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217076639136896,0,,,,1
,,,,,
Gaia DR3 511264110825475328,0,,,,1
,,,,,
Gaia DR3 511264218205596288,0,,,,1
,,,,,
Gaia DR3 511217454604082944,0.912280702,,,,0.087719298
,,,,,
Gaia DR3 511264179544959104,0,,,,1
,,,,,
Gaia DR3 511217450300786304,0,,,,1
,,,,,
Gaia DR3 511217763841687808,0.926900585,,,,0.073099415
,,,,,
Gaia DR3 511217695122212480,0.935672515,,,,0.064327485
,,,,,
Gaia DR3 511264664886920832,0.131578947,,,,0.868421053
,,,,,
Gaia DR3 511217695126271616,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217454604075904,0.947368421,,,,0.052631579
,,,,,
Gaia DR3 511217076639132032,0,,,,1
,,,,,
Gaia DR3 511264218210327424,0.684210526,,,,0.315789474
,,,,,
Gaia DR3 511240647428816384,0.757156048,,,,0.242843952
,,,,,
Gaia DR3 511217037983853312,0,,,,1
,,,,,
